question,answer,section,hit_rate,mrr
0.5,0.5,0.1,0.8619469026548673,0.7225958702064895
0.5,0.5,0.2,0.8336283185840708,0.6959292035398229
0.5,0.5,0.5,0.7610619469026548,0.6399999999999999
0.5,0.5,1.0,0.727433628318584,0.6101474926253686
0.5,1.0,0.1,0.9132743362831859,0.7866076696165186
0.5,1.0,0.2,0.9008849557522124,0.7723008849557519
0.5,1.0,0.5,0.8230088495575221,0.706607669616519
0.5,1.0,1.0,0.7752212389380531,0.6640412979351031
0.5,2.0,0.1,0.9185840707964602,0.7855162241887902
0.5,2.0,0.2,0.9150442477876106,0.7820353982300879
0.5,2.0,0.5,0.8690265486725663,0.7472566371681412
0.5,2.0,1.0,0.8070796460176991,0.6951622418879053
0.5,4.0,0.1,0.8955752212389381,0.7698230088495575
0.5,4.0,0.2,0.8955752212389381,0.7701179941002947
0.5,4.0,0.5,0.879646017699115,0.7652802359882004
0.5,4.0,1.0,0.8407079646017699,0.7277286135693214
0.5,10.0,0.1,0.8814159292035398,0.7404719764011796
0.5,10.0,0.2,0.8831858407079646,0.745634218289085
0.5,10.0,0.5,0.8814159292035398,0.7494690265486721
0.5,10.0,1.0,0.8743362831858407,0.7451032448377576
1.0,0.5,0.1,0.8053097345132744,0.6509439528023596
1.0,0.5,0.2,0.7946902654867256,0.6483480825958698
1.0,0.5,0.5,0.7486725663716814,0.6129498525073745
1.0,0.5,1.0,0.7008849557522124,0.5714454277286134
1.0,1.0,0.1,0.8690265486725663,0.7288200589970499
1.0,1.0,0.2,0.8619469026548673,0.7225958702064895
1.0,1.0,0.5,0.8123893805309734,0.6832153392330383
1.0,1.0,1.0,0.7610619469026548,0.6399999999999999
1.0,2.0,0.1,0.9221238938053097,0.7866076696165186
1.0,2.0,0.2,0.9132743362831859,0.7866076696165186
1.0,2.0,0.5,0.8902654867256637,0.7548082595870202
1.0,2.0,1.0,0.8230088495575221,0.706607669616519
1.0,4.0,0.1,0.9150442477876106,0.7831858407079642
1.0,4.0,0.2,0.9185840707964602,0.7855162241887902
1.0,4.0,0.5,0.911504424778761,0.781209439528023
1.0,4.0,1.0,0.8690265486725663,0.7472566371681412
1.0,10.0,0.1,0.8849557522123894,0.7576696165191739
1.0,10.0,0.2,0.8849557522123894,0.7612094395280232
1.0,10.0,0.5,0.8884955752212389,0.7633923303834804
1.0,10.0,1.0,0.8814159292035398,0.7606784660766958
2.0,0.5,0.1,0.7451327433628319,0.5960471976401176
2.0,0.5,0.2,0.7522123893805309,0.6003539823008845
2.0,0.5,0.5,0.7345132743362832,0.5914749262536869
2.0,0.5,1.0,0.7026548672566372,0.5597345132743361
2.0,1.0,0.1,0.8017699115044248,0.6476696165191737
2.0,1.0,0.2,0.8053097345132744,0.6509439528023596
2.0,1.0,0.5,0.7893805309734513,0.6427138643067845
2.0,1.0,1.0,0.7486725663716814,0.6129498525073745
2.0,2.0,0.1,0.8761061946902655,0.7255162241887904
2.0,2.0,0.2,0.8690265486725663,0.7288200589970499
2.0,2.0,0.5,0.8495575221238938,0.7165191740412978
2.0,2.0,1.0,0.8123893805309734,0.6832153392330383
2.0,4.0,0.1,0.9238938053097345,0.7876696165191734
2.0,4.0,0.2,0.9221238938053097,0.7866076696165186
2.0,4.0,0.5,0.911504424778761,0.78646017699115
2.0,4.0,1.0,0.8902654867256637,0.7548082595870202
2.0,10.0,0.1,0.904424778761062,0.7777876106194688
2.0,10.0,0.2,0.904424778761062,0.7783185840707961
2.0,10.0,0.5,0.911504424778761,0.7814454277286134
2.0,10.0,1.0,0.904424778761062,0.7769026548672562
3.0,0.5,0.1,0.720353982300885,0.5663126843657814
3.0,0.5,0.2,0.7221238938053097,0.5712094395280233
3.0,0.5,0.5,0.7221238938053097,0.5718289085545719
3.0,0.5,1.0,0.695575221238938,0.5545132743362828
3.0,1.0,0.1,0.784070796460177,0.6171091445427725
3.0,1.0,0.2,0.7805309734513274,0.6219764011799407
3.0,1.0,0.5,0.7734513274336283,0.6204424778761058
3.0,1.0,1.0,0.7504424778761062,0.6029498525073744
3.0,2.0,0.1,0.8336283185840708,0.6752212389380527
3.0,2.0,0.2,0.8336283185840708,0.6780825958702063
3.0,2.0,0.5,0.8212389380530973,0.6780825958702065
3.0,2.0,1.0,0.8053097345132744,0.6621238938053096
3.0,4.0,0.1,0.9026548672566371,0.7561651917404124
3.0,4.0,0.2,0.9008849557522124,0.7578171091445423
3.0,4.0,0.5,0.8973451327433628,0.7605014749262532
3.0,4.0,1.0,0.8778761061946903,0.7394395280235986
3.0,10.0,0.1,0.9168141592920354,0.7871976401179936
3.0,10.0,0.2,0.9168141592920354,0.7853392330383475
3.0,10.0,0.5,0.9203539823008849,0.7897640117994096
3.0,10.0,1.0,0.9203539823008849,0.7833333333333327
